name,date,total
Keller Hall,8/18/2018 19:00,24
Keller Hall,8/18/2018 20:00,19
Keller Hall,8/18/2018 21:00,21
Keller Hall,8/18/2018 22:00,20
Keller Hall,8/18/2018 23:00,15
Keller Hall,8/19/2018 0:00,11
Keller Hall,8/19/2018 1:00,12
Keller Hall,8/19/2018 2:00,9
Keller Hall,8/19/2018 3:00,9
Keller Hall,8/19/2018 4:00,10
Keller Hall,8/19/2018 5:00,10
Keller Hall,8/19/2018 6:00,12
Keller Hall,8/19/2018 7:00,24
Keller Hall,8/19/2018 8:00,31
Keller Hall,8/19/2018 9:00,44
Keller Hall,8/19/2018 10:00,84
Keller Hall,8/19/2018 11:00,93
Keller Hall,8/19/2018 12:00,94
Keller Hall,8/19/2018 13:00,91
Keller Hall,8/19/2018 14:00,83
Keller Hall,8/19/2018 15:00,60
Keller Hall,8/19/2018 16:00,72
Keller Hall,8/19/2018 17:00,68
Keller Hall,8/19/2018 18:00,48
Keller Hall,8/19/2018 19:00,58
Keller Hall,8/19/2018 20:00,39
Keller Hall,8/19/2018 21:00,26
Keller Hall,8/19/2018 22:00,14
Keller Hall,8/19/2018 23:00,12
Keller Hall,8/20/2018 0:00,11
Keller Hall,8/20/2018 1:00,9
Keller Hall,8/20/2018 2:00,10
Keller Hall,8/20/2018 3:00,9
Keller Hall,8/20/2018 4:00,8
Keller Hall,8/20/2018 5:00,24
Keller Hall,8/20/2018 6:00,76
Keller Hall,8/20/2018 7:00,334
Keller Hall,8/20/2018 8:00,684
Keller Hall,8/20/2018 9:00,902
Keller Hall,8/20/2018 10:00,1301
Keller Hall,8/20/2018 11:00,1439
Keller Hall,8/20/2018 12:00,1333
Keller Hall,8/20/2018 13:00,1365
Keller Hall,8/20/2018 14:00,1103
Keller Hall,8/20/2018 15:00,787
Keller Hall,8/20/2018 16:00,626
Keller Hall,8/20/2018 17:00,305
Keller Hall,8/20/2018 18:00,195
Keller Hall,8/20/2018 19:00,165
Keller Hall,8/20/2018 20:00,68
